Scenario;Metamodel;Metric;Value
ModifyMicroSwitch (1);mkamp;number of nodes;148
ModifyMicroSwitch (1);mkamp;number of edges;318
ModifyMicroSwitch (1);mkamp;hypergraph size;1077.0939848838864
ModifyMicroSwitch (1);mkamp;hypergraph complexity;1488.175715415385
ModifyMicroSwitch (1);mkamp;inter module coupling;1094.0006473902251
ModifyMicroSwitch (1);mkamp;graph cohesion;0.005981664792075843
ParentEntity (3);edu.kit.ipd.sdq.kamp;number of modules;9
ParentEntity (3);edu.kit.ipd.sdq.kamp;number of nodes;118
ParentEntity (3);edu.kit.ipd.sdq.kamp;number of edges;230
ParentEntity (3);edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
ParentEntity (3);edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942803
ParentEntity (3);edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280306
ParentEntity (3);edu.kit.ipd.sdq.kamp;graph cohesion;0.011086119344883186
ParentEntity (3);mkamp;number of modules;6
ParentEntity (3);mkamp;number of nodes;11
ParentEntity (3);mkamp;number of edges;28
ParentEntity (3);mkamp;hypergraph size;44.405276617693104
ParentEntity (3);mkamp;hypergraph complexity;143.46269657550857
ParentEntity (3);mkamp;inter module coupling;112.32033823929099
ParentEntity (3);mkamp;graph cohesion;0.3230757862644334
