Scenario;Metamodel;Metric;Value
ModifyModule;mkamp;hypergraph size;276.54895329896146
ModifyModule;mkamp;hypergraph complexity;619.8562977622179
ModifyModule;mkamp;inter module coupling;328.5005694098709
ModifyModule;mkamp;graph cohesion;0.014522219638819344
MonostableCylinder;edu.kit.ipd.sdq.kamp;number of modules;9
MonostableCylinder;edu.kit.ipd.sdq.kamp;number of nodes;118
MonostableCylinder;edu.kit.ipd.sdq.kamp;number of edges;230
MonostableCylinder;edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
MonostableCylinder;edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942803
MonostableCylinder;edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280294
MonostableCylinder;edu.kit.ipd.sdq.kamp;graph cohesion;0.011086119344883186
MonostableCylinder;mkamp;number of modules;17
MonostableCylinder;mkamp;number of nodes;110
MonostableCylinder;mkamp;number of edges;219
MonostableCylinder;mkamp;hypergraph size;755.6163963483939
MonostableCylinder;mkamp;hypergraph complexity;1059.4140043954028
MonostableCylinder;mkamp;inter module coupling;884.5900731028378
MonostableCylinder;mkamp;graph cohesion;0.012862868755505798
Panel;edu.kit.ipd.sdq.kamp;number of modules;9
Panel;edu.kit.ipd.sdq.kamp;number of nodes;118
Panel;edu.kit.ipd.sdq.kamp;number of edges;230
Panel;edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
Panel;edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942806
Panel;edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280306
Panel;edu.kit.ipd.sdq.kamp;graph cohesion;0.01108611934488319
Panel;mkamp;number of modules;11
Panel;mkamp;number of nodes;60
Panel;mkamp;number of edges;128
Panel;mkamp;hypergraph size;363.2059749335994
Panel;mkamp;hypergraph complexity;650.6529736835562
Panel;mkamp;inter module coupling;535.6400128687403
Panel;mkamp;graph cohesion;0.030362982065829842
ParentEntity;edu.kit.ipd.sdq.kamp;number of modules;9
ParentEntity;edu.kit.ipd.sdq.kamp;number of nodes;118
ParentEntity;edu.kit.ipd.sdq.kamp;number of edges;230
ParentEntity;edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
ParentEntity;edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942803
ParentEntity;edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280306
ParentEntity;edu.kit.ipd.sdq.kamp;graph cohesion;0.011086119344883186
ParentEntity;mkamp;number of modules;6
ParentEntity;mkamp;number of nodes;11
ParentEntity;mkamp;number of edges;28
ParentEntity;mkamp;hypergraph size;44.405276617693104
ParentEntity;mkamp;hypergraph complexity;143.46269657550857
ParentEntity;mkamp;inter module coupling;112.32033823929099
ParentEntity;mkamp;graph cohesion;0.3230757862644334
Plant;edu.kit.ipd.sdq.kamp;number of modules;9
Plant;edu.kit.ipd.sdq.kamp;number of nodes;118
Plant;edu.kit.ipd.sdq.kamp;number of edges;230
Plant;edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
Plant;edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942803
Plant;edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280317
Plant;edu.kit.ipd.sdq.kamp;graph cohesion;0.011086119344883188
Plant;mkamp;number of modules;6
Plant;mkamp;number of nodes;11
Plant;mkamp;number of edges;28
Plant;mkamp;hypergraph size;44.405276617693104
Plant;mkamp;hypergraph complexity;143.46269657550857
Plant;mkamp;inter module coupling;112.32033823929102
Plant;mkamp;graph cohesion;0.3230757862644334
Ramp;edu.kit.ipd.sdq.kamp;number of modules;9
Ramp;edu.kit.ipd.sdq.kamp;number of nodes;118
Ramp;edu.kit.ipd.sdq.kamp;number of edges;230
Ramp;edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
Ramp;edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942801
Ramp;edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280294
Ramp;edu.kit.ipd.sdq.kamp;graph cohesion;0.011086119344883186
Ramp;mkamp;number of modules;11
Ramp;mkamp;number of nodes;60
Ramp;mkamp;number of edges;128
Ramp;mkamp;hypergraph size;363.2059749335994
Ramp;mkamp;hypergraph complexity;650.652973683556
Ramp;mkamp;inter module coupling;535.6400128687403
Ramp;mkamp;graph cohesion;0.03036298206582983
SeedMods;edu.kit.ipd.sdq.kamp;number of modules;12
SeedMods;edu.kit.ipd.sdq.kamp;number of nodes;164
SeedMods;edu.kit.ipd.sdq.kamp;number of edges;347
SeedMods;edu.kit.ipd.sdq.kamp;hypergraph size;1216.881506172242
SeedMods;edu.kit.ipd.sdq.kamp;hypergraph complexity;1695.2834493185974
SeedMods;edu.kit.ipd.sdq.kamp;inter module coupling;708.0104615877366
SeedMods;edu.kit.ipd.sdq.kamp;graph cohesion;0.0045219298911434065
SeedMods;mkamp;number of modules;9
SeedMods;mkamp;number of nodes;48
SeedMods;mkamp;number of edges;126
SeedMods;mkamp;hypergraph size;276.54895329896146
SeedMods;mkamp;hypergraph complexity;619.8562977622181
SeedMods;mkamp;inter module coupling;328.5005694098709
SeedMods;mkamp;graph cohesion;0.014522219638819344
Structure;edu.kit.ipd.sdq.kamp;number of modules;9
Structure;edu.kit.ipd.sdq.kamp;number of nodes;118
Structure;edu.kit.ipd.sdq.kamp;number of edges;230
Structure;edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
Structure;edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942803
Structure;edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280306
Structure;edu.kit.ipd.sdq.kamp;graph cohesion;0.011086119344883186
Structure;mkamp;number of modules;6
Structure;mkamp;number of nodes;11
Structure;mkamp;number of edges;28
Structure;mkamp;hypergraph size;44.405276617693104
Structure;mkamp;hypergraph complexity;143.46269657550857
Structure;mkamp;inter module coupling;112.32033823929102
Structure;mkamp;graph cohesion;0.3230757862644334
TurningTable;edu.kit.ipd.sdq.kamp;number of modules;9
TurningTable;edu.kit.ipd.sdq.kamp;number of nodes;118
TurningTable;edu.kit.ipd.sdq.kamp;number of edges;230
TurningTable;edu.kit.ipd.sdq.kamp;hypergraph size;821.9199808774135
TurningTable;edu.kit.ipd.sdq.kamp;hypergraph complexity;1066.0926509942803
TurningTable;edu.kit.ipd.sdq.kamp;inter module coupling;398.48688997280294
TurningTable;edu.kit.ipd.sdq.kamp;graph cohesion;0.011086119344883188
TurningTable;mkamp;number of modules;11
TurningTable;mkamp;number of nodes;60
TurningTable;mkamp;number of edges;128
TurningTable;mkamp;hypergraph size;363.2059749335994
TurningTable;mkamp;hypergraph complexity;650.6529736835562
TurningTable;mkamp;inter module coupling;535.6400128687403
TurningTable;mkamp;graph cohesion;0.030362982065829852
